"","Name","classId","MeshClass"
"106","Somatropin","N0000004102","Intracranial Hemorrhages"
"107","Somatropin","N0000002128","Neoplasms"
"108","Somatropin","N0000002472","Prader-Willi Syndrome"
"109","Somatropin","N0000175606","Recombinant Human Growth Hormone"
"110","Somatropin","N0000175606","Recombinant Human Growth Hormone"
"111","Somatropin","N0000006646","Human Growth Hormone"
"112","Somatropin","N0000175438","Recombinant Human Growth Hormones"
"113","Somatropin","N0000175438","Recombinant Human Growth Hormones"
"114","Somatropin","N0000010266","Growth Hormone Receptor Agonists"
"115","Somatropin","N0000000165","Pituitary Hormone Receptor Agonists"
"116","Somatropin","N0000008311","Bone Formation Stimulation"
"117","Somatropin","N0000009319","Increased Erythroid Cell Production"
"118","Somatropin","N0000009533","Increased Protein Synthesis"
"119","abciximab","D000925","Anticoagulants"
"120","abciximab","D010975","Platelet Aggregation Inhibitors"
"121","gemtuzumab","D000970","Antineoplastic Agents"
"122","gemtuzumab","L01XC","Monoclonal antibodies"
"123","gemtuzumab","N0000000999","Drug Hypersensitivity"
"124","gemtuzumab","N0000003273","Leukemia, Myelomonocytic, Acute"
"125","gemtuzumab","N0000010195","Pregnancy"
"126","gemtuzumab","N0000004844","gemtuzumab"
"127","gemtuzumab","N0000000233","Nucleic Acid Synthesis Inhibitors"
"128","gemtuzumab","N0000008576","Decreased DNA Integrity"
"129","pegaspargase","D000970","Antineoplastic Agents"
"130","eptifibatide","D010975","Platelet Aggregation Inhibitors"
"131","infliximab","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"132","infliximab","D003879","Dermatologic Agents"
"133","infliximab","D005765","Gastrointestinal Agents"
"134","infliximab","D018501","Antirheumatic Agents"
"135","trastuzumab","D000970","Antineoplastic Agents"
"136","rituximab","D000970","Antineoplastic Agents"
"137","rituximab","D007155","Immunologic Factors"
"138","rituximab","D018501","Antirheumatic Agents"
"139","basiliximab","D007166","Immunosuppressive Agents"
"140","Digoxin","D000889","Anti-Arrhythmia Agents"
"141","Digoxin","D002316","Cardiotonic Agents"
"142","Digoxin","D004791","Enzyme Inhibitors"
"143","Digoxin","C01AA","Digitalis glycosides"
"144","Digoxin","N0000000375","Amyloidosis"
"145","Digoxin","N0000000507","Atrial Fibrillation"
"146","Digoxin","N0000000508","Atrial Flutter"
"147","Digoxin","N0000000683","Cardiac Output, Low"
"148","Digoxin","N0000000687","Cardiomyopathy, Hypertrophic"
"149","Digoxin","N0000000999","Drug Hypersensitivity"
"150","Digoxin","N0000001430","Heart Block"
"151","Digoxin","N0000001434","Heart Failure"
"152","Digoxin","N0000001434","Heart Failure"
"153","Digoxin","N0000002363","Pericarditis, Constrictive"
"154","Digoxin","N0000002729","Shock, Cardiogenic"
"155","Digoxin","N0000002895","Tachycardia, Supraventricular"
"156","Digoxin","N0000003541","Tachycardia, Ventricular"
"157","Digoxin","N0000003118","Ventricular Fibrillation"
"158","Digoxin","N0000175568","Cardiac Glycoside"
"159","Digoxin","N0000175568","Cardiac Glycoside"
"160","Digoxin","N0000008157","Cardiac Glycosides"
"161","Digoxin","N0000005903","Digoxin"
"162","Digoxin","N0000008157","Cardiac Glycosides"
"163","Digoxin","N0000000133","Enzyme Inhibitors"
"164","Digoxin","N0000000238","Sodium-Potassium Exchanging ATPase Interactions"
"165","Digoxin","N0000008369","Conduction System Depolarization"
"166","Digoxin","N0000009756","Negative Chronotropy"
"167","Digoxin","N0000009763","Nodal Depolarization"
"168","Digoxin","N0000009809","Positive Inotropy"
"169","Digoxin","N0000000025","Intestinal Metabolism"
"170","Digoxin","N0000000042","Renal Excretion"
"171","Daptomycin","D000900","Anti-Bacterial Agents"
"172","Pancrelipase","D005765","Gastrointestinal Agents"
"173","Streptokinase","D005343","Fibrinolytic Agents"
"174","alemtuzumab","D000970","Antineoplastic Agents"
"175","Cyclosporine","D000935","Antifungal Agents"
"176","Cyclosporine","D003879","Dermatologic Agents"
"177","Cyclosporine","D004791","Enzyme Inhibitors"
"178","Cyclosporine","D007166","Immunosuppressive Agents"
"179","Cyclosporine","D018501","Antirheumatic Agents"
"180","alefacept","D003879","Dermatologic Agents"
"181","Felypressin","D014662","Vasoconstrictor Agents"
"182","Becaplermin","D043925","Angiogenesis Inducing Agents"
"183","Octreotide","D005765","Gastrointestinal Agents"
"184","Octreotide","D018931","Antineoplastic Agents, Hormonal"
"185","abarelix","D006727","Hormone Antagonists"
"186","Oxytocin","D010120","Oxytocics"
"187","enfuvirtide","D023581","HIV Fusion Inhibitors"
"188","palivizumab","D000998","Antiviral Agents"
"189","Daclizumab","D007166","Immunosuppressive Agents"
"190","bevacizumab","D020533","Angiogenesis Inhibitors"
"191","Biotin","D014803","Vitamin B Complex"
"192","Choline","D008082","Lipotropic Agents"
"193","Choline","D018697","Nootropic Agents"
"194","Adenosine","D000700","Analgesics"
"195","Adenosine","D000889","Anti-Arrhythmia Agents"
"196","Adenosine","D014665","Vasodilator Agents"
"197","Adenosine","C01EB","Other cardiac preparations"
"198","Adenosine","N0000000507","Atrial Fibrillation"
"199","Adenosine","N0000000508","Atrial Flutter"
"200","Adenosine","N0000000999","Drug Hypersensitivity"
"201","Adenosine","N0000001430","Heart Block"
"202","Adenosine","N0000001610","Hypersensitivity"
"203","Adenosine","N0000001879","Lung Diseases"
"204","Adenosine","N0000002743","Sick Sinus Syndrome"
"205","Adenosine","N0000002889","Tachycardia, Atrioventricular Nodal Reentry"
"206","Adenosine","N0000002892","Tachycardia, Paroxysmal"
"207","Adenosine","N0000003541","Tachycardia, Ventricular"
"208","Adenosine","N0000003166","Wolff-Parkinson-White Syndrome"
"209","Adenosine","N0000178375","Adenosine Receptor Agonist"
"210","Adenosine","N0000178375","Adenosine Receptor Agonist"
"211","Adenosine","N0000007355","Adenosine"
"212","Adenosine","N0000175788","Adenosine Receptor Agonists"
"213","Adenosine","N0000000228","Structural Macromolecules"
"214","Adenosine","N0000175788","Adenosine Receptor Agonists"
"215","Adenosine","N0000008321","Bronchoconstriction"
"216","Adenosine","N0000008330","Cardiac Rhythm Alteration"
"217","Adenosine","N0000009764","Nodal Repolarization"
"218","Calcitriol","D002120","Calcium Channel Agonists"
"219","Calcitriol","D014815","Vitamins"
"220","Calcitriol","D050071","Bone Density Conservation Agents"
"221","Riboflavin","D014803","Vitamin B Complex"
"222","Riboflavin","D017319","Photosensitizing Agents"
"223","Glycine","D018684","Glycine Agents"
"224","Pyridoxal","D014803","Vitamin B Complex"
"225","Thiamine","D014803","Vitamin B Complex"
"226","Ergocalciferol","D014815","Vitamins"
"227","Ergocalciferol","D050071","Bone Density Conservation Agents"
"228","pyridoxine","D014803","Vitamin B Complex"
"229","Cholecalciferol","D014815","Vitamins"
"230","Cholecalciferol","D050071","Bone Density Conservation Agents"
"231","Adenosine","D000700","Analgesics"
"232","Adenosine","D000889","Anti-Arrhythmia Agents"
"233","Adenosine","D014665","Vasodilator Agents"
"234","Adenosine","C01EB","Other cardiac preparations"
"235","Adenosine","N0000000507","Atrial Fibrillation"
"236","Adenosine","N0000000508","Atrial Flutter"
"237","Adenosine","N0000000999","Drug Hypersensitivity"
"238","Adenosine","N0000001430","Heart Block"
"239","Adenosine","N0000001610","Hypersensitivity"
"240","Adenosine","N0000001879","Lung Diseases"
"241","Adenosine","N0000002743","Sick Sinus Syndrome"
"242","Adenosine","N0000002889","Tachycardia, Atrioventricular Nodal Reentry"
"243","Adenosine","N0000002892","Tachycardia, Paroxysmal"
"244","Adenosine","N0000003541","Tachycardia, Ventricular"
"245","Adenosine","N0000003166","Wolff-Parkinson-White Syndrome"
"246","Adenosine","N0000178375","Adenosine Receptor Agonist"
"247","Adenosine","N0000178375","Adenosine Receptor Agonist"
"248","Adenosine","N0000007355","Adenosine"
"249","Adenosine","N0000175788","Adenosine Receptor Agonists"
"250","Adenosine","N0000000228","Structural Macromolecules"
"251","Adenosine","N0000175788","Adenosine Receptor Agonists"
"252","Adenosine","N0000008321","Bronchoconstriction"
"253","Adenosine","N0000008330","Cardiac Rhythm Alteration"
"254","Adenosine","N0000009764","Nodal Repolarization"
"255","Pravastatin","D000924","Anticholesteremic Agents"
"256","Pravastatin","D019161","Hydroxymethylglutaryl-CoA Reductase Inhibitors"
"257","Fluvoxamine","D014151","Anti-Anxiety Agents"
"258","Fluvoxamine","D017367","Serotonin Uptake Inhibitors"
"259","Fluvoxamine","D018687","Antidepressive Agents, Second-Generation"
"260","valsartan","D000959","Antihypertensive Agents"
"261","valsartan","D047228","Angiotensin II Type 1 Receptor Blockers"
"262","Ramipril","D000806","Angiotensin-Converting Enzyme Inhibitors"
"263","Ramipril","D000959","Antihypertensive Agents"
"264","Masoprocol","D000975","Antioxidants"
"265","Masoprocol","D016859","Lipoxygenase Inhibitors"
"266","Masoprocol","D016861","Cyclooxygenase Inhibitors"
"267","flunisolide","D000893","Anti-Inflammatory Agents"
"268","flunisolide","D018927","Anti-Asthmatic Agents"
"269","Baclofen","D009125","Muscle Relaxants, Central"
"270","Baclofen","D058786","GABA-B Receptor Agonists"
"271","Amphetamine","D000697","Central Nervous System Stimulants"
"272","Amphetamine","D013566","Sympathomimetics"
"273","Amphetamine","D015259","Dopamine Agents"
"274","Amphetamine","D018663","Adrenergic Agents"
"275","Amphetamine","D018759","Adrenergic Uptake Inhibitors"
"276","Amphetamine","D018765","Dopamine Uptake Inhibitors"
"277","Nicotine","D005731","Ganglionic Stimulants"
"278","Nicotine","D018722","Nicotinic Agonists"
"279","cevimeline","D010277","Parasympathomimetics"
"280","cevimeline","D018721","Muscarinic Agonists"
"281","Lorazepam","D000927","Anticonvulsants"
"282","Lorazepam","D000932","Antiemetics"
"283","Lorazepam","D006993","Hypnotics and Sedatives"
"284","Lorazepam","D014151","Anti-Anxiety Agents"
"285","Lorazepam","D018757","GABA Modulators"
"286","esmolol","D058671","Adrenergic beta-1 Receptor Antagonists"
"287","bortezomib","D000970","Antineoplastic Agents"
"288","Ethchlorvynol","D006993","Hypnotics and Sedatives"
"289","Carbidopa","D000978","Antiparkinson Agents"
"290","Carbidopa","D004791","Enzyme Inhibitors"
"291","Carbidopa","D015259","Dopamine Agents"
"292","Phentermine","D000697","Central Nervous System Stimulants"
"293","Phentermine","D001067","Appetite Depressants"
"294","Phentermine","D013566","Sympathomimetics"
"295","Phentermine","D018663","Adrenergic Agents"
"296","Tramadol","D000701","Analgesics, Opioid"
"297","Tramadol","D009294","Narcotics"
"298","Vidarabine","D000963","Antimetabolites"
"299","Vidarabine","D000998","Antiviral Agents"
"300","Betaxolol","D000959","Antihypertensive Agents"
"301","Betaxolol","D013565","Sympatholytics"
"302","Betaxolol","D058671","Adrenergic beta-1 Receptor Antagonists"
"303","Fluconazole","D000935","Antifungal Agents"
"304","Fluconazole","D058888","14-alpha Demethylase Inhibitors"
"305","Oseltamivir","D000998","Antiviral Agents"
"306","Oseltamivir","D004791","Enzyme Inhibitors"
"307","Erythromycin","D000900","Anti-Bacterial Agents"
"308","Erythromycin","D005765","Gastrointestinal Agents"
"309","Erythromycin","D011500","Protein Synthesis Inhibitors"
"310","Hydroxocobalamin","D006397","Hematinics"
"311","Hydroxocobalamin","D014803","Vitamin B Complex"
"312","Caffeine","D000697","Central Nervous System Stimulants"
"313","Caffeine","D010726","Phosphodiesterase Inhibitors"
"314","Caffeine","D058915","Purinergic P1 Receptor Antagonists"
"315","Succinylcholine","D009467","Neuromuscular Depolarizing Agents"
"316","sildenafil","D014665","Vasodilator Agents"
"317","sildenafil","D058986","Phosphodiesterase 5 Inhibitors"
"318","sildenafil","D064804","Urological Agents"
"319","dofetilide","D000889","Anti-Arrhythmia Agents"
"320","dofetilide","D026902","Potassium Channel Blockers"
"321","Pyrimethamine","D000962","Antimalarials"
"322","Pyrimethamine","D000981","Antiprotozoal Agents"
"323","Pyrimethamine","D005493","Folic Acid Antagonists"
"324","Reserpine","D000959","Antihypertensive Agents"
"325","Reserpine","D014150","Antipsychotic Agents"
"326","Reserpine","D018759","Adrenergic Uptake Inhibitors"
"327","Azithromycin","D000900","Anti-Bacterial Agents"
"328","Ticlopidine","D005343","Fibrinolytic Agents"
"329","Ticlopidine","D010975","Platelet Aggregation Inhibitors"
"330","Ticlopidine","D058921","Purinergic P2Y Receptor Antagonists"
"331","adapalene","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"332","adapalene","D003879","Dermatologic Agents"
"333","Midodrine","D013566","Sympathomimetics"
"334","Midodrine","D014662","Vasoconstrictor Agents"
"335","Midodrine","D058646","Adrenergic alpha-1 Receptor Agonists"
"336","pantoprazole","D000897","Anti-Ulcer Agents"
"337","pantoprazole","D054328","Proton Pump Inhibitors"
"338","Citalopram","D017367","Serotonin Uptake Inhibitors"
"339","Citalopram","D018687","Antidepressive Agents, Second-Generation"
"340","eletriptan","D017366","Serotonin Receptor Agonists"
"341","Bethanidine","D000959","Antihypertensive Agents"
"342","Bethanidine","D013565","Sympatholytics"
"343","Bethanidine","D018663","Adrenergic Agents"
"344","moxifloxacin","D000900","Anti-Bacterial Agents"
"345","moxifloxacin","D059005","Topoisomerase II Inhibitors"
"346","Oxyphenonium","D009184","Mydriatics"
"347","Oxyphenonium","D010276","Parasympatholytics"
"348","Oxyphenonium","D018727","Muscarinic Antagonists"
"349","Nelfinavir","D017320","HIV Protease Inhibitors"
"350","glimepiride","D000889","Anti-Arrhythmia Agents"
"351","glimepiride","D007004","Hypoglycemic Agents"
"352","glimepiride","D007166","Immunosuppressive Agents"
"353","Diflorasone","D000893","Anti-Inflammatory Agents"
"354","Diflorasone","D005938","Glucocorticoids"
"355","Indinavir","D017320","HIV Protease Inhibitors"
"356","gadodiamide","D003287","Contrast Media"
"357","guanadrel","D000959","Antihypertensive Agents"
"358","Lovastatin","D000924","Anticholesteremic Agents"
"359","Lovastatin","D019161","Hydroxymethylglutaryl-CoA Reductase Inhibitors"
"360","Enflurane","D018685","Anesthetics, Inhalation"
"361","Cefotiam","D000900","Anti-Bacterial Agents"
"362","pregabalin","D000700","Analgesics"
"363","pregabalin","D000927","Anticonvulsants"
"364","pregabalin","D002121","Calcium Channel Blockers"
"365","Temazepam","D006993","Hypnotics and Sedatives"
"366","Temazepam","D014151","Anti-Anxiety Agents"
"367","Temazepam","D018757","GABA Modulators"
"368","Methyclothiazide","D004232","Diuretics"
"369","Methyclothiazide","D049993","Sodium Chloride Symporter Inhibitors"
"370","reboxetine","D000928","Antidepressive Agents"
"371","reboxetine","D018759","Adrenergic Uptake Inhibitors"
"372","Milrinone","D002316","Cardiotonic Agents"
"373","Milrinone","D010975","Platelet Aggregation Inhibitors"
"374","Milrinone","D014665","Vasodilator Agents"
"375","Milrinone","D058987","Phosphodiesterase 3 Inhibitors"
"376","Pipobroman","D018906","Antineoplastic Agents, Alkylating"
"377","butabarbital","D006993","Hypnotics and Sedatives"
"378","Nevirapine","D018894","Reverse Transcriptase Inhibitors"
"379","Nevirapine","D019380","Anti-HIV Agents"
"380","oxiconazole","D000935","Antifungal Agents"
"381","Cladribine","D000970","Antineoplastic Agents"
"382","Cladribine","D007166","Immunosuppressive Agents"
"383","ranolazine","D004791","Enzyme Inhibitors"
"384","ziprasidone","D012702","Serotonin Antagonists"
"385","ziprasidone","D014150","Antipsychotic Agents"
"386","ziprasidone","D018492","Dopamine Antagonists"
"387","Methysergide","D012702","Serotonin Antagonists"
"388","Methysergide","D014662","Vasoconstrictor Agents"
"389","cabergoline","D000970","Antineoplastic Agents"
"390","cabergoline","D000978","Antiparkinson Agents"
"391","cabergoline","D018491","Dopamine Agonists"
"392","Idoxuridine","D000998","Antiviral Agents"
"393","Idoxuridine","D019384","Nucleic Acid Synthesis Inhibitors"
"394","Dapsone","D000890","Anti-Infective Agents"
"395","Dapsone","D000962","Antimalarials"
"396","Dapsone","D005493","Folic Acid Antagonists"
"397","Dapsone","D007917","Leprostatic Agents"
"398","terconazole","D000935","Antifungal Agents"
"399","Phenytoin","D000927","Anticonvulsants"
"400","Phenytoin","D061567","Voltage-Gated Sodium Channel Blockers"
"401","medrysone","D005938","Glucocorticoids"
"402","Doxycycline","D000900","Anti-Bacterial Agents"
"403","Doxycycline","D000962","Antimalarials"
"404","Diethylstilbestrol","D004968","Estrogens, Non-Steroidal"
"405","Lymecycline","D000900","Anti-Bacterial Agents"
"406","Clotrimazole","D000891","Anti-Infective Agents, Local"
"407","Clotrimazole","D000935","Antifungal Agents"
"408","Clotrimazole","D058888","14-alpha Demethylase Inhibitors"
"409","Calcium","N0000175901","Calcium"
"410","Calcium","N0000175597","Phosphate Binder"
"411","Calcium","N0000175597","Phosphate Binder"
"412","Calcium","N0000175901","Calcium"
"413","Calcium","N0000006512","Calcium"
"414","Calcium","N0000006512","Calcium"
"415","Calcium","N0000006512","Calcium"
"416","Calcium","N0000020074","Phosphate Chelating Activity"
"417","Calcium","N0000020074","Phosphate Chelating Activity"
"418","Sulfanilamide","D000900","Anti-Bacterial Agents"
"419","Cycloserine","D000892","Anti-Infective Agents, Urinary"
"420","Cycloserine","D000904","Antibiotics, Antitubercular"
"421","Cycloserine","D000963","Antimetabolites"
"422","anagrelide","D005343","Fibrinolytic Agents"
"423","anagrelide","D010975","Platelet Aggregation Inhibitors"
"424","Carmustine","D018906","Antineoplastic Agents, Alkylating"
"425","Sulfisoxazole","D000890","Anti-Infective Agents"
"426","Metoprolol","D000889","Anti-Arrhythmia Agents"
"427","Metoprolol","D000959","Antihypertensive Agents"
"428","Metoprolol","D013565","Sympatholytics"
"429","Metoprolol","D058671","Adrenergic beta-1 Receptor Antagonists"
"430","ropinirole","D000978","Antiparkinson Agents"
"431","ropinirole","D018491","Dopamine Agonists"
"432","Isradipine","D000959","Antihypertensive Agents"
"433","Isradipine","D002121","Calcium Channel Blockers"
"434","Isradipine","D014665","Vasodilator Agents"
"435","Diatrizoate","D003287","Contrast Media"
"436","topiramate","D000927","Anticonvulsants"
"437","topiramate","D018696","Neuroprotective Agents"
"438","topiramate","D019440","Anti-Obesity Agents"
"439","Cefmetazole","D000900","Anti-Bacterial Agents"
"440","olmesartan","D000959","Antihypertensive Agents"
"441","olmesartan","D047228","Angiotensin II Type 1 Receptor Blockers"
"442","Amsacrine","D000970","Antineoplastic Agents"
"443","Theophylline","D001993","Bronchodilator Agents"
"444","Theophylline","D010726","Phosphodiesterase Inhibitors"
"445","Theophylline","D014665","Vasodilator Agents"
"446","Theophylline","D058915","Purinergic P1 Receptor Antagonists"
"447","argatroban","D000991","Antithrombins"
"448","argatroban","D010975","Platelet Aggregation Inhibitors"
"449","Disopyramide","D000889","Anti-Arrhythmia Agents"
"450","Disopyramide","D061567","Voltage-Gated Sodium Channel Blockers"
"451","Lidocaine","D000779","Anesthetics, Local"
"452","Lidocaine","D000889","Anti-Arrhythmia Agents"
"453","Lidocaine","D061567","Voltage-Gated Sodium Channel Blockers"
"454","pamidronate","D050071","Bone Density Conservation Agents"
"455","Clemastine","D000982","Antipruritics"
"456","Clemastine","D006634","Histamine H1 Antagonists"
"457","Clemastine","D018926","Anti-Allergic Agents"
"458","Acarbose","D004791","Enzyme Inhibitors"
"459","Acarbose","D007004","Hypoglycemic Agents"
"460","venlafaxine","D017367","Serotonin Uptake Inhibitors"
"461","venlafaxine","D018687","Antidepressive Agents, Second-Generation"
"462","travoprost","D000959","Antihypertensive Agents"
"463","amcinonide","D005938","Glucocorticoids"
"464","atomoxetine","D018759","Adrenergic Uptake Inhibitors"
"465","Bleomycin","D000903","Antibiotics, Antineoplastic"
"466","Chlorambucil","D018906","Antineoplastic Agents, Alkylating"
"467","Etomidate","D006993","Hypnotics and Sedatives"
"468","Etomidate","D018686","Anesthetics, Intravenous"
"469","raltitrexed","D000964","Antimetabolites, Antineoplastic"
"470","raltitrexed","D005493","Folic Acid Antagonists"
"471","Etonogestrel","D003271","Contraceptive Agents, Female"
"472","Morphine","D000701","Analgesics, Opioid"
"473","Morphine","D009294","Narcotics"
"474","ropivacaine","D000779","Anesthetics, Local"
"475","Bupivacaine","D000779","Anesthetics, Local"
"476","dapiprazole","D000317","Adrenergic alpha-Antagonists"
"477","dapiprazole","D014150","Antipsychotic Agents"
"478","penciclovir","D000998","Antiviral Agents"
"479","Tenofovir","D018894","Reverse Transcriptase Inhibitors"
"480","Tenofovir","D019380","Anti-HIV Agents"
"481","ertapenem","D000900","Anti-Bacterial Agents"
"482","Desogestrel","D003280","Contraceptives, Oral, Synthetic"
"483","Desogestrel","D011372","Progestins"
"484","Mitomycin","D000477","Alkylating Agents"
"485","Mitomycin","D000903","Antibiotics, Antineoplastic"
"486","Mitomycin","D019384","Nucleic Acid Synthesis Inhibitors"
"487","bexarotene","D016588","Anticarcinogenic Agents"
"488","ibutilide","D000889","Anti-Arrhythmia Agents"
"489","Vindesine","D000972","Antineoplastic Agents, Phytogenic"
"490","Vindesine","D050257","Tubulin Modulators"
"491","Chlorthalidone","D000959","Antihypertensive Agents"
"492","Chlorthalidone","D004232","Diuretics"
"493","Chlorthalidone","D049993","Sodium Chloride Symporter Inhibitors"
"494","Pentobarbital","D000759","Adjuvants, Anesthesia"
"495","Pentobarbital","D006993","Hypnotics and Sedatives"
"496","Pentobarbital","D018757","GABA Modulators"
"497","Capreomycin","D000900","Anti-Bacterial Agents"
"498","Capreomycin","D000904","Antibiotics, Antitubercular"
"499","Capreomycin","D011500","Protein Synthesis Inhibitors"
"500","zolmitriptan","D058825","Serotonin 5-HT1 Receptor Agonists"
"501","Acetaminophen","D018712","Analgesics, Non-Narcotic"
"502","Acetaminophen","D058633","Antipyretics"
"503","gefitinib","D000970","Antineoplastic Agents"
"504","gefitinib","D047428","Protein Kinase Inhibitors"
"505","Codeine","D000701","Analgesics, Opioid"
"506","Codeine","D000996","Antitussive Agents"
"507","Codeine","D009294","Narcotics"
"508","Piperacillin","D000900","Anti-Bacterial Agents"
"509","Dihydroergotamine","D014662","Vasoconstrictor Agents"
"510","Dihydroergotamine","D018491","Dopamine Agonists"
"511","Dihydroergotamine","D018712","Analgesics, Non-Narcotic"
"512","Amitriptyline","D000929","Antidepressive Agents, Tricyclic"
"513","Amitriptyline","D018712","Analgesics, Non-Narcotic"
"514","Amitriptyline","D018759","Adrenergic Uptake Inhibitors"
"515","Floxuridine","D000964","Antimetabolites, Antineoplastic"
