dbid,Name
DB00812," Kadol
"
DB00812," Lingel
"
DB00812," Malgesic
"
DB00812," Mepha-Butazon
"
DB00812," Mephabutazon
"
DB00812," Mephabutazone
"
DB00812," Merizone
"
DB00812," Nadazone
"
DB00812," Nadozone
"
DB00812," Neo-Zoline
"
DB00812," Novophenyl
"
DB00812," Phebuzin
"
DB00812," Phebuzine
"
DB00812," Phenbutazol
"
DB00812," Phenbutazone
"
DB00812," Phenopyrine
"
DB00812," Phenyl-Mobuzon
"
DB00812," Phenylbutaz
"
DB00812," Phenylbutazonum
"
DB00812," Phenyzene
"
DB00812," Phenyzone
"
DB00812," Pirarreumol B
"
DB00812," Praecirheumin
"
DB00812," Pyrabutol
"
DB00812," Pyrazolidin
"
DB00812," Rectofasa
"
DB00812," Reudo
"
DB00812," Reudox
"
DB00812," Reumasyl
"
DB00812," Reumazin
"
DB00812," Reumazol
"
DB00812," Reumune
"
DB00812," Reumuzol
"
DB00812," Reupolar
"
DB00812," Robizon-V
"
DB00812," Robizone
"
DB00812," Robizone-V
"
DB00812," Rubatone
"
DB00812," Scanbutazone
"
DB00812," Schemergin
"
DB00812," Shigrodin
"
DB00812," Tazone
"
DB00812," Tencodyne
"
DB00812," Tetnor
"
DB00812," Tevcodyne
"
DB00812," Therazone
"
DB00812," Ticinil
"
DB00812," Todalgil
"
DB00812," Usaf Ge-15
"
DB00812," Uzone
"
DB00812," VAC-10
"
DB00812," Wescozone
"
DB00812," Zolaphen
"
DB00812," Zolidinum
"
DB00832,"Phensuximide
"
DB00832,"(+/-)-N-Methyl-2-phenylsuccinimide
"
DB00832," 1-Methyl-3-Phenylsuccinimide
"
DB00832," Epimid
"
DB00832," Fenosuccimide
"
DB00832," Fensuccimide 
"
DB00832," Fensuximida 
"
DB00832," Lifene
"
DB00832," Methylphenylsuccinimide
"
DB00832," Milontin
"
DB00832," Milontin (TN)
"
DB00832," Milonton
"
DB00832," Mirontin
"
DB00832," Mirotin
"
DB00832,"7 Phenosuccimide
"
DB00832," N-Methyl-2-phenylsuccinimide
"
DB00832," N-Methyl-alpha-phenolsuccinimide
"
DB00832," N-Methyl-alpha-phenylsuccinimide
"
DB00832," Phensuximid
"
DB00832," Phensuximide (USP)
"
DB00832," Phensuximide 
"
DB00832," Phensuximidum 
"
DB00832," Phenylsuximide
"
DB00832," Succinimide. N-methyl-2-phenyl-
"
DB00832," Succitimal
"
DB00333,"Methadone
"
DB00333,"(+/-)-Tussal
"
DB00333," Adanon
"
DB00333," Adanon hydrochloride
"
DB00333," Adolan
"
DB00333," Algidon
"
DB00333," Algolysin
"
DB00333," Algovetin
"
DB00333," Althose hydrochloride
"
DB00333," Amidon
"
DB00333," Amidone
"
DB00333," Biscuits
"
DB00333," Butalgin
"
DB00333," Depridol
"
DB00333," Diaminon
"
DB00333," Diaminon hydrochloride
"
DB00333," Dollies
"
DB00333," Dolly
"
DB00333," Dolofin hydrochloride
"
DB00333," Dolohepton
"
DB00333," Dolophin
"
DB00333," Dolophin hydrochloride
"
DB00333," Dolophine
"
DB00333," Dolophine HCL
"
DB00333," Fenadon
"
DB00333," Fenadone
"
DB00333," Heptadon
"
DB00333," Heptadone
"
DB00333," Heptanon
"
DB00333," Ketalgin
"
DB00333," Ketalgin hydrochloride
"
DB00333," Mecodin
"
DB00333," Mephenon
"
DB00333," Methadone HCL Intensol
"
DB00333," Methadone M
"
DB00333," Methadose
"
DB00333," Methaquaione
"
DB00333," Miadone
"
DB00333," Moheptan
"
DB00333," Phenadone
"
DB00333," Physeptone
"
DB00333," Polamidon
"
DB00333," Polamidone
"
DB00333," Tussol
"
DB00333," Westadone
"
DB00333,"(+/-)-Methadone
"
DB00333," (+/-)-Methadone hydrochloride
"
DB00333," dl-Methadone
"
DB00333," DL-Methadone hydrochloride
"
DB00333," Methadon
"
DB00333," Methadone HCL
"
DB00333," Methadone hydrochloride
"
DB00333," Phenadone hydrochloride
"
DB01664,"(S)-Des-Me-Ampa
"
DB01664,"(S)-2-AMINO-3-(3-HYDROXY-ISOXAZOL-4-YL)PROPIONIC ACID
"
DB01664," SHI
"
DB02666,"(C8-R)-Hydantocidin 5-Phosphate
"
DB02666,"NON-7-YLMETHYL] PHOSPHATE
"
DB00470,"Dronabinol
"
DB00470,"&Delta
"
DB00470,"9-tetrahydrocannabinol
"
DB00470," &Delta
"
DB00470,"9-THC
"
DB00470," Abbott 40566
"
DB00470," Dea No. 7369
"
DB00470," Dea No. 7370
"
DB00470," delta-9-tetrahydrocannabinol
"
DB00470," delta-9-THC
"
DB00470," Deltanyne
"
DB00470," Dronabinol
"
DB00470," Dronabinol 
"
DB00470," Dronabinolum 
"
DB00470," Marinol
"
DB01434,"19-norandrostenedione
"
DB01434,"19-N-Andro
"
DB01434," Bolandione
"
DB01434," Proven Pure 19-Norandrostenedione
"
DB01434,"4-estrene-3.17-dione
"
DB01434," delta4-Estrene-3.17-dione
"
DB01434," NOR
"
DB02568,"Peldesine
"
DB02568,"2-Amino-3.5-dihydro-7-(3-pyridylmethyl)-4H-pyrrolo(3.2-d)pyrimidin-4-one
"
DB02568," 4H-Pyrrolo(3.2-d)pyrimidin-4-one. 2-amino-3.5-dihydro-7-(3-pyridinylmethyl)-
"
DB02568," PELDESINE
"
DB02568," Peldesine 
"
DB00525,"Tolnaftate
"
DB00525,"2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate
"
DB00525," Aftate
"
DB00525," Aftate for athletes foot aerosol spray liquid
"
DB00525," Aftate for athletes foot aerosol spray powder
"
DB00525," Aftate for athletes foot gel
"
DB00525," Aftate for athletes foot sprinkle powder
"
DB00525," Aftate for jock itch aerosol spray powder
"
DB00525," Aftate for jock itch gel
"
DB00525," Aftate for jock itch sprinkle powder
"
DB00525," Carbanilic acid. M.N-dimethylthio-. O-2-naphthyl ester
"
DB00525," Carbanilic acid. N.M-dimethylthio-. O-2-naphthyl ester
"
DB00525," Chinofungin
"
DB00525," Dermoxin
"
DB00525," Dr. Scholls athletes foot spray
"
DB00525," Dungistop
"
DB00525," Focusan
"
DB00525," Fungistop
"
DB00525," Genaspore cream
"
DB00525," Hi-alarzin
"
DB00525," Hi-alazin
"
DB00525," M.N-Dimethylthiocarbanilic acid O-2-naphthyl ester
"
DB00525," Naphthiomate T
"
DB00525," Naphthiomate-t
"
DB00525," NP-27 Cream
"
DB00525," NP-27 Powder
"
DB00525," NP-27 Solution
"
DB00525," NP-27 Spray Powder
"
DB00525," o-(2-Naphthyl) methyl(3-methylphenyl)thiocarbamate
"
DB00525," O-2-Naphthyl M.N-dimethylthiocarbanilate
"
DB00525," O-2-Naphthyl N.N-dimethylthiocarbanilate
"
DB00525," Phytoderm
"
DB00525," Pitrex
"
DB00525," Pitrex cream
"
DB00525," Prestwick_472
"
DB00525," Separin
"
DB00525," Separin (TN)
"
DB00525," Sorgoa
"
DB00525," Sporiline
"
DB00525," Timoped
"
DB00525," Tinactin
"
DB00525," Tinactin (TN)
"
DB00525," Tinactin aerosol liquid
"
DB00525," Tinactin aerosol powder
"
DB00525," Tinactin antifungal deodorant powder aerosol
"
DB00525," Tinactin cream
"
DB00525," Tinactin jock itch aerosol powder
"
DB00525," Tinactin jock itch cream
"
DB00525," Tinactin jock itch spray powder
"
DB00525," Tinactin plus aerosol powder
"
DB00525," Tinactin plus powder
"
DB00525," Tinactin powder
"
DB00525," Tinactin solution
"
DB00525," Tinaderm
"
DB00525," Tinavet
"
DB00525," Tinavet (veterinary)
"
DB00525," Ting antifungal cream
"
DB00525," Ting antifungal powder
"
DB00525," Ting antifungal spray liquid
"
DB00525," Ting antifungal spray powder
"
DB00525," Ting products
"
DB00525," Tniaderm
"
DB00525," Tolnaftate (JP14/USP)
"
DB00525," Tolnaftate (JP15/USP)
"
DB00525," Tolnaftate 
"
DB00525," Tolnaftate(USAN)
"
DB00525," Tolnaftato 
"
DB00525," Tolnaftatum 
"
DB00525," Tolnaphthate
"
DB00525," Tolsanil
"
DB00525," Tonoftal
"
DB00525," Tritin
"
DB00525," Zeasorb-AF powder
"
DB02153,"3-Sulfinoalanine
"
DB02153,"3-Sulfino-L-alanine
"
DB02153," 3-sulphino-L-alanine
"
DB02153," L-Cysteinesulfinic acid
"
DB00371,"Meprobamate
"
DB00371,"3P bamate
"
DB00371," Amepromat
"
DB00371," Amosene
"
DB00371," Anastress
"
DB00371," Anathylmon
"
DB00371," Anatimon
"
DB00371," Andaksin
"
DB00371," Andaxin
"
DB00371," Aneural
"
DB00371," Aneurol
"
DB00371," Aneusral
"
DB00371," Aneuxal
"
DB00371," Aneuxral
"
DB00371," Ansiatan
"
DB00371," Ansietan
"
DB00371," Ansil
"
DB00371," Ansiowas
"
DB00371," Anural
"
DB00371," Anxietil
"
DB00371," Anzil
"
DB00371," Apascil
"
DB00371," Apasil
"
DB00371," Apo-Meprobamate
"
DB00371," Appetrol
"
DB00371," Appetrol-Sr
"
DB00371," Arcoban
"
DB00371," Arpon
"
DB00371," Artolon
"
DB00371," Ataraxine
"
DB00371," Atraxin
"
DB00371," Auxietil
"
DB00371," Ayeramate
"
DB00371," Ayermate
"
DB00371," Bamate
"
DB00371," Bamd 400
"
DB00371," Bamo 400
"
DB00371," Biobamat
"
DB00371," Biobamate
"
DB00371," Brobamate
"
DB00371," Calmadin
"
DB00371," Calmax
"
DB00371," Calmiren
"
DB00371," Canquil 400
"
DB00371," Canquil-400
"
DB00371," Carbaxin
"
DB00371," Cirpon
"
DB00371," Cirponyl
"
DB00371," Coprobate
"
DB00371," Crestanil
"
DB00371," Cypron
"
DB00371," Cyrpon
"
DB00371," Dapaz
"
DB00371," Deprol
"
DB00371," Despasmol
"
DB00371," Dicandiol
"
DB00371," Diron
"
DB00371," Diurnal
"
DB00371," Diveron
"
DB00371," Dormabrol
"
DB00371," Ecuanil
"
DB00371," Edenal
"
DB00371," Enorden
"
DB00371," Epicur
"
DB00371," Epikur
"
DB00371," Equanil
"
DB00371," Equatrate
"
DB00371," Equazine-M
"
DB00371," Equilium
"
DB00371," Equinil
"
DB00371," Equitar
"
DB00371," Erina
"
DB00371," Estasil
"
DB00371," Fas-Cile
"
DB00371," Fas-Cile 200
"
DB00371," Gadexyl
"
DB00371," Gagexyl
"
DB00371," Harmonin
"
DB00371," Hartol
"
DB00371," Holbamate
"
DB00371," Ipsotian
"
DB00371," Kesso-Bamate
"
DB00371," Kessobamate
"
DB00371," Klort
"
DB00371," Larten
"
DB00371," Lepenil
"
DB00371," Lepetown
"
DB00371," Letyl
"
DB00371," Libiolan
"
DB00371," Madiol
"
DB00371," Mar-Bate
"
DB00371," Margonil
"
DB00371," Mendel
"
DB00371," Mepamtin
"
DB00371," Mepantin
"
DB00371," Mepavlon
"
DB00371," Mepiosine
"
DB00371," Meposed
"
DB00371," Mepranil
"
DB00371," Mepriam
"
DB00371," Meprin
"
DB00371," Meprindon
"
DB00371," Mepro-analgesic
"
DB00371," Mepro-Aspirin
"
DB00371," Meprobam
"
DB00371," Meprobamat
"
DB00371," Meproban
"
DB00371," Meprocompren
"
DB00371," Meprocon
"
DB00371," Meprocon CMC
"
DB00371," Meprodil
"
DB00371," Meprodiol
"
DB00371," Meprol
"
DB00371," Meproleaf
"
DB00371," Mepronil
"
DB00371," Meprosa
"
DB00371," Meprosan
"
DB00371," Meprosin
"
DB00371," Meprospan
"
DB00371," Meprotabs
"
DB00371," Meprotan
"
DB00371," Meprotanum
"
DB00371," Meproten
"
DB00371," Meprotil
"
DB00371," Meprovan
"
DB00371," Meprozine
"
DB00371," Meptran
"
DB00371," Metractyl
"
DB00371," Metranquil
"
DB00371," Micrainin
"
DB00371," Milpath
"
DB00371," Milprem
"
DB00371," Miltamato
"
DB00371," Miltann
"
DB00371," Miltaun
"
DB00371," Miltown
"
DB00371," Miltuan
"
DB00371," Miltwon
"
DB00371," Misedant
"
DB00371," Morbam
"
DB00371," Multaun
"
DB00371," My-trans
"
DB00371," Neo-Tran
"
DB00371," Nephentine
"
DB00371," Nervonus
"
DB00371," Neuramate
"
DB00371," Oasil
"
DB00371," Optarket
"
DB00371," Orlevol
"
DB00371," Orolevol
"
DB00371," Pan-tranquil
"
DB00371," Pancalma
"
DB00371," Panediol
"
DB00371," Pankalma
"
DB00371," Pathibamate
"
DB00371," Paxin
"
DB00371," Pensive
"
DB00371," Perequietil
"
DB00371," Perequil
"
DB00371," Perquietil
"
DB00371," Pertranquil
"
DB00371," Pimal
"
DB00371," Placidon
"
DB00371," Placitate
"
DB00371," Prequil
"
DB00371," Probamato
"
DB00371," Probamyl
"
DB00371," Probate
"
DB00371," Procalmadiol
"
DB00371," Procalmadol
"
DB00371," Procalmidol
"
DB00371," Promate
"
DB00371," Promato
"
DB00371," Proquanil
"
DB00371," Protran
"
DB00371," Q-Gesic
"
DB00371," Quaname
"
DB00371," Quanane
"
DB00371," Quanil
"
DB00371," Quietidon
"
DB00371," Quivet
"
DB00371," Rastenil
"
DB00371," Reostral
"
DB00371," Restenil
"
DB00371," Restenyl
"
DB00371," Restinal
"
DB00371," Restinil
"
DB00371," Restran
"
DB00371," Robamate
"
DB00371," Sadanyl
"
DB00371," Scolazil
"
DB00371," Sedabamate
"
DB00371," Sedanil
"
DB00371," Sedanyl
"
DB00371," Sedazil
"
DB00371," Sedoquil
"
DB00371," Sedoselecta
"
DB00371," Selene
"
DB00371," Seril
"
DB00371," Setran
"
DB00371," Shalvaton
"
DB00371," SK-Bamate
"
DB00371," Solevione anastress
"
DB00371," Sowell
"
DB00371," Spantran
"
DB00371," Stensolo
"
DB00371," Tamate
"
DB00371," Tensol
"
DB00371," Tensonal
"
DB00371," Trancot
"
DB00371," Trankvilan
"
DB00371," Tranlisant
"
DB00371," Tranmep
"
DB00371," Tranquil
"
DB00371," Tranquilan
"
DB00371," Tranquilate
"
DB00371," Tranquilax
"
DB00371," Tranquiline
"
DB00371," Tranquillin
"
DB00371," Tranquilsan
"
DB00371," Tranquinol
"
DB00371," Tranquisan
"
DB00371," Trelmar
"
DB00371," Urbil
"
DB00371," Urbilat
"
DB00371," Vio-Bamate
"
DB00371," Vistabamate
"
DB00371," Wardamate
"
DB00371," Wyseals
"
DB00371," Zirpon
"
DB00371,"DEA No. 2820
"
DB00371," Meprobamat 
"
DB00371," Meprobamato 
"
DB00371," Meprobamatum 
"
DB00371," Meprobamic acid
"
DB00371," Procarbamide
"
DB00709,"Lamivudine
"
DB00709,"3TC
"
DB00709," Epivir
"
DB00709," Epivir-HBV
"
DB00709," Hepitec
"
DB00709," Heptovir
"
DB00709," Zeffix
"
DB00445,"Epirubicin
"
DB00445,"4-Epiadriamycin
"
DB00445," 4-Epidoxorubicin
"
DB00445," Ellence
"
DB00445," Epi-Dx
"
DB00445," Epiadriamycin
"
DB00445," Epidoxorubicin
"
DB00445," Epirubicina 
"
DB00445," Epirubicine 
"
DB00445," Epirubicinum 
"
DB00445," IMI 28
"
DB00445," Pharmorubicin Pfs
"
DB00445," Pidorubicina 
"
DB00445," Pidorubicine 
"
DB00445," Pidorubicinum 
"
DB00445," Ridorubicin
"
DB01632,"Alpha-Phosphoribosylpyrophosphoric Acid
"
DB01632,"5-Phospho-alpha-D-ribose 1-diphosphate
"
DB01632," 5-Phosphoribosyl 1-pyrophosphate
"
DB01632," 5-Phosphoribosyl diphosphate
"
DB01632," 5-PHOSPHORYLRIBOSE-1-PYROPHOSPHATE
"
DB01632," Phosphoribosyl pyrophosphate
"
DB01632," Phosphoribosylpyrophosphate
"
DB01632," PRP
"
DB01632," PRPP
"
DB01632," Ribofuranose. 5-phosphate 1-pyrophosphate
"
DB00437,"Allopurinol
"
DB00437,"7HP
"
DB00437," Adenock
"
DB00437," Ailural
"
DB00437," Allo-Puren
"
DB00437," Allohexal
"
DB00437," Allopur
"
DB00437," Allozym
"
DB00437," Allural
"
DB00437," Aloprim
"
DB00437," Aloral
"
DB00437," Alositol
"
DB00437," Aluline
"
DB00437," Anoprolin
"
DB00437," Anzief
"
DB00437," Apo-Allopurinol
"
DB00437," Apulonga
"
DB00437," Apurin
"
DB00437," Apurol
"
DB00437," Atisuril
"
DB00437," Bleminol
"
DB00437," Bloxanth
"
DB00437," Caplenal
"
DB00437," Cellidrin
"
DB00437," Cosuric
"
DB00437," Dabrosin
"
DB00437," Dabroson
"
DB00437," Dura Al
"
DB00437," Embarin
"
DB00437," Epidropal
"
DB00437," Epuric
"
DB00437," Foligan
"
DB00437," Geapur
"
DB00437," Gichtex
"
DB00437," Gotax
"
DB00437," Hamarin
"
DB00437," Hexanuret
"
DB00437," HPP
"
DB00437," Ketanrift
"
DB00437," Ketobun-A
"
DB00437," Ledopur
"
DB00437," Lopurin
"
DB00437," Lysuron
"
DB00437," Milurit
"
DB00437," Miniplanor
"
DB00437," Monarch
"
DB00437," Nektrohan
"
DB00437," Progout
"
DB00437," Purinol
"
DB00437," Remid
"
DB00437," Riball
"
DB00437," Sigapurol
"
DB00437," Suspendol
"
DB00437," Takanarumin
"
DB00437," Urbol
"
DB00437," Uricemil
"
DB00437," Uriprim
"
DB00437," Uripurinol
"
DB00437," Uritas
"
DB00437," Urobenyl
"
DB00437," Urolit
"
DB00437," Urosin
"
DB00437," Urtias
"
DB00437," Urtias 100
"
DB00437," Xanturat
"
DB00437," Zyloprim
"
DB00437," Zyloric
"
DB00437,"Allopurinol Sodium
"
DB00437," Allopurinolum 
"
DB00437," Alopurinol 
"
DB00945,"Acetylsalicylic acid
"
DB00945,"8-hour Bayer
"
DB00945," A.S.A. Empirin
"
DB00945," Acenterine
"
DB00945," Acesal
"
DB00945," Acetal
"
DB00945," Aceticyl
"
DB00945," Acetisal
"
DB00945," Acetol
"
DB00945," Acetonyl
"
DB00945," Acetophen
"
DB00945," Acetosal
"
DB00945," Acetosalin
"
DB00945," Acetylin
"
DB00945," Acetylsal
"
DB00945," Acimetten
"
DB00945," Acisal
"
DB00945," Acylpyrin
"
DB00945," Adiro
"
DB00945," Asagran
"
DB00945," Asatard
"
DB00945," Ascoden-30
"
DB00945," Aspalon
"
DB00945," Aspec
"
DB00945," Aspergum
"
DB00945," Aspirdrops
"
DB00945," Aspirin
"
DB00945," Aspirine
"
DB00945," Aspro
"
DB00945," Asteric
"
DB00945," Bayer Extra Strength Aspirin For Migraine Pain
"
DB00945," Benaspir
"
DB00945," Bi-prin
"
DB00945," Bialpirina
"
DB00945," Bialpirinia
"
DB00945," Bufferin
"
DB00945," Cemirit
"
DB00945," Claradin
"
DB00945," Clariprin
"
DB00945," Colfarit
"
DB00945," Contrheuma retard
"
DB00945," Coricidin
"
DB00945," Crystar
"
DB00945," Decaten
"
DB00945," Delgesic
"
DB00945," Dolean pH 8
"
DB00945," Duramax
"
DB00945," Easprin
"
DB00945," ECM
"
DB00945," Ecolen
"
DB00945," Ecotrin
"
DB00945," Empirin
"
DB00945," Endydol
"
DB00945," Entericin
"
DB00945," Enterophen
"
DB00945," Enterosarein
"
DB00945," Enterosarine
"
DB00945," Entrophen
"
DB00945," Extren
"
DB00945," Globentyl
"
DB00945," Globoid
"
DB00945," Helicon
"
DB00945," Idragin
"
DB00945," Levius
"
DB00945," Measurin
"
DB00945," Micristin
"
DB00945," Neuronika
"
DB00945," Novid
"
DB00945," Nu-seals
"
DB00945," Nu-seals aspirin
"
DB00945," Persistin
"
DB00945," Pharmacin
"
DB00945," Pirseal
"
DB00945," Polopiryna
"
DB00945," Premaspin
"
DB00945," Rheumintabletten
"
DB00945," Rhodine
"
DB00945," Rhonal
"
DB00945," Salacetin
"
DB00945," Salcetogen
"
DB00945," Saletin
"
DB00945," Solfrin
"
DB00945," Solprin
"
DB00945," Solprin acid
"
DB00945," Solpyron
"
DB00945," Spira-Dine
"
DB00945," St. Joseph
"
DB00945," St. Joseph Aspirin for Adults
"
DB00945," Supac
"
DB00945," Tasprin
"
DB00945," Temperal
"
DB00945," Triple-sal
"
DB00945," Xaxa
"
DB00945," Yasta
"
DB00945,"2-Acetoxybenzenecarboxylic acid
"
DB00945," 2-Acetoxybenzoic acid
"
DB00945," 2-Carboxyphenyl acetate
"
DB00945," A.S.A.
"
DB00945," Acetilsalicilico
"
DB00945," Acetilum acidulatum
"
DB00945," Acetosalic acid
"
DB00945," Acetoxybenzoic acid
"
DB00945," Acetylsalicylate
"
DB00945," Acetylsalicylsaure (GERMAN)
"
DB00945," Acetysalicylic acid
"
DB00945," Acide acetylsalicylique (FRENCH)
"
DB00945," Acido acetilsalicilico
"
DB00945," Acido O-acetil-benzoico
"
DB00945," Acidum acetylsalicylicum
"
DB00945," ASA
"
DB00945," Kyselina 2-acetoxybenzoova
"
DB00945," Kyselina acetylsalicylova
"
DB00945," O-accetylsalicylic acid
"
DB00945," o-Acetoxybenzoic acid
"
DB00945," O-Acetylsalicylic acid
"
DB00945," o-Carboxyphenyl acetate
"
DB00945," Salicylic acid acetate
"
DB00945," Salicylic acid. acetate
"
DB00687,"Fludrocortisone
"
DB00687,"9 .Alpha. Ff
"
DB00687," 9 Alpha Ff
"
DB00687," 9 alpha-Fludrocortisone
"
DB00687," 9 alpha-Fluorocortisol
"
DB00687," 9.Alpha.-Fluorocortisol
"
DB00687," 9.Alpha.-Fluorohydrocortisone
"
DB00687," Alflorone
"
DB00687," Astonin-H
"
DB00687," F-COL
"
DB00687," F-Cortef
"
DB00687," Florinef
"
DB00687," Fludrocortisona 
"
DB00687," Fludrocortisone Acetate
"
DB00687," Fludrocortisonum 
"
DB00687," Fludrocortone
"
DB00687," Fludrone
"
DB00687," Fludronef
"
DB00687," Fluodrocortisone
"
DB00687," Fluohydrisone
"
DB00687," Fluohydrocortisone
"
DB00687," Fluorocortisol
"
DB00687," Fluorocortisone
"
DB00687," ZK5
"
DB00162,"Vitamin A
"
DB00162,"A-Mulsal
"
DB00162," A-Sol
"
DB00162," A-Vi-Pel
"
DB00162," A-Vitan
"
DB00162," Acon
"
DB00162," Afaxin
"
DB00162," Agiolan
"
DB00162," Agoncal
"
DB00162," Alcovit A
"
DB00162," alin
"
DB00162," Alphalin
"
DB00162," Alphasterol
"
DB00162," Anatola
"
DB00162," Anatola A
"
DB00162," Anti-Infective vitamin
"
DB00162," Antixerophthalmic vitamin
"
DB00162," Aoral
"
DB00162," Apexol
"
DB00162," Apostavit
"
DB00162," Aquasol A Parenteral
"
DB00162," Aquasynth
"
DB00162," asterol
"
DB00162," Atars
"
DB00162," Atav
"
DB00162," Avibon
"
DB00162," Avita
"
DB00162," Avitol
"
DB00162," Axerol
"
DB00162," Axerophthol
"
DB00162," Bentavit A
"
DB00162," Biosterol
"
DB00162," Chocola A
"
DB00162," Cylasphere
"
DB00162," Del-VI-A
"
DB00162," Disatabs Tabs
"
DB00162," Dofsol
"
DB00162," Dohyfral A
"
DB00162," Epiteliol
"
DB00162," Hi-A-Vita
"
DB00162," Homagenets Aoral
"
DB00162," Homagenets aorl
"
DB00162," Lard Factor
"
DB00162," Mvc Plus
"
DB00162," Myvpack
"
DB00162," Nio-A-Let
"
DB00162," Oleovitamin A
"
DB00162," Ophthalamin
"
DB00162," Plivit A
"
DB00162," Prepalin
"
DB00162," Retrovitamin A
"
DB00162," Ro-a-vit
"
DB00162," Sehkraft A
"
DB00162," Solu-A
"
DB00162," Super A
"
DB00162," Testavol
"
DB00162," Testavol S
"
DB00162," Thalasphere
"
DB00162," tROL
"
DB00162," Vaflol
"
DB00162," Vafol
"
DB00162," Veroftal
"
DB00162," Vi-a
"
DB00162," Vi-Alpha
"
DB00162," Vi-Dom-A
"
DB00162," Vio-A
"
DB00162," Vitavel A
"
DB00162," Vitpex
"
DB00162," Vogan
"
DB00162," Vogan-Neu
"
DB00162," Vogan-nu
"
DB00162," Zineb
"
DB00162," Zinosan N
"
DB00162,#NAME?
DB00162," all-trans-retinol
"
DB00162," All-trans-Retinyl alcohol
"
DB00162," all-trans-Vitamin A
"
DB00162," All-trans-Vitamin A alcohol
"
DB00162," all-trans-Vitamin A1
"
DB00162," beta-Retinol
"
DB00162," Retin-11.12-t2-ol (9CI)
"
DB00162," Retinol
"
DB00162," trans-Retinol
"
DB00162," trans-Vitamin A alcohol
"
DB00162," Vitamin A (Feed)
"
DB00162," Vitamin A alcohol
"
DB00162," Vitamin A cryst
"
DB00162," Vitamin A Palmitate
"
DB00162," Vitamin A Solubilized
"
DB00162," Vitamin A1
"
DB00162," Vitamin A1 alcohol
"
DB00475,"Chlordiazepoxide
"
DB00475,"A-Poxide
"
DB00475," Abboxide
"
DB00475," Apo-Chlordiazepoxide
"
DB00475," Balance
"
DB00475," CD 2
"
DB00475," CDP
"
DB00475," Chloradiazepoxide
"
DB00475," Chlordiazachel
"
DB00475," Chlordiazepoxid
"
DB00475," Chlordiazepoxide Base
"
DB00475," Chlordiazepoxide Hcl
"
DB00475," Chlordiazepoxidum
"
DB00475," Chloridazepoxide
"
DB00475," Chloridiazepide
"
DB00475," Chloridiazepoxide
"
DB00475," Chlorodiazepoxide
"
DB00475," Chlozepid
"
DB00475," Clopoxide
"
DB00475," Clordiazepossido
"
DB00475," Contol
"
DB00475," Control
"
DB00475," Decacil
"
DB00475," Eden
"
DB00475," Elenium
"
DB00475," Helogaphen
"
DB00475," Ifibrium
"
DB00475," Kalmocaps
"
DB00475," Librelease
"
DB00475," Librinin
"
DB00475," Libritabs
"
DB00475," Librium
"
DB00475," Lygen
"
DB00475," Menrium
"
DB00475," Mesural
"
DB00475," Methaminodiazepoxide
"
DB00475," Mildmen
"
DB00475," Multum
"
DB00475," Napoton
"
DB00475," Napton
"
DB00475," Novo-Poxide
"
DB00475," Psicosan
"
DB00475," Radepur
"
DB00475," Risolid
"
DB00475," Silibrin
"
DB00475," Tropium
"
DB00475," Viopsicol
"
DB00431,"Lindane
"
DB00431,"Aalindan
"
